"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"gatesAir",".iso.org.dod.internet.private.enterprises.gatesAir",".1.3.6.1.4.1.43768",,,"","GATESAIR-SMI","The root of the OID sub-tree assigned to Company by the Internet Assigned Numbers Authority (IANA)"
"gatesAirMibs",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirMibs",".1.3.6.1.4.1.43768.1",,,"","GATESAIR-SMI","The root OBJECT-IDENTITY from which MODULE-COMPLIANCE values may be assigned."
"transmissionMibs",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirMibs.transmissionMibs",".1.3.6.1.4.1.43768.1.2",,,"","GATESAIR-SMI","MIB registrations specific to transmission product lines."
"uaxteBaseMibModule",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirMibs.transmissionMibs.uaxteBaseMibModule",".1.3.6.1.4.1.43768.1.2.9",,,"","GATESAIR-UAXTE-MIB",""
"intraplexMibs",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirMibs.intraplexMibs",".1.3.6.1.4.1.43768.1.3",,,"","GATESAIR-SMI","MIB registrations specific to the Intraplex product line."
"gatesAirProducts",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts",".1.3.6.1.4.1.43768.3",,,"","GATESAIR-SMI","The root for product specific object and event definitions."
"transmissionProducts",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts",".1.3.6.1.4.1.43768.3.1",,,"","GATESAIR-SMI","Specific object and event definitions for products in the transmission product line."
"transmitters",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters",".1.3.6.1.4.1.43768.3.1.1",,,"","GATESAIR-SMI","Objects and events for RF transmitters"
"uax",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uax",".1.3.6.1.4.1.43768.3.1.1.1",,,"","GATESAIR-SMI","UAX specific objects and events."
"vax",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.vax",".1.3.6.1.4.1.43768.3.1.1.2",,,"","GATESAIR-SMI","VAX specific object and events."
"uaxteBaseMib",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib",".1.3.6.1.4.1.43768.3.1.1.3",,,"","GATESAIR-UAXTE-MIB","Description."
"uaxteEvents",".iso.org.dod.internet.private.enterprises.gatesAir.gatesAirProducts.transmissionProducts.transmitters.uaxteBaseMib.uaxteEvents",".1.3.6.1.4.1.43768.3.1.1.3.1",,,"","GATESAIR-UAXTE-MIB",""
